name	x	y	z	size
bankssts_lh	-54.906650396583274	-44.86455155582672	4.969493593654661	2
bankssts_rh	54.42710120068611	-40.82332761578044	4.913093196112058	2
caudalanteriorcingulate_lh	-5.201541197391833	20.7860106698281	26.015411973918205	2
caudalanteriorcingulate_rh	5.725411882176729	21.072890664004007	26.961058412381433	2
caudalmiddlefrontal_lh	-35.91009463722398	11.640904311251319	45.32728706624606	2
caudalmiddlefrontal_rh	35.97705882352942	12.405588235294118	46.11823529411765	2
corpuscallosum_lh	-1.2671755725190792	-0.8053435114503884	18.709923664122144	2
corpuscallosum_rh	2.5774058577405867	-1.2635983263598263	19.104602510460253	2
cuneus_lh	-7.062933333333319	-79.77066666666667	18.10773333333333	2
cuneus_rh	7.733759842519689	-79.11515748031496	19.4015748031496	2
entorhinal_lh	-23.837869822485203	-6.581656804733726	-34.45976331360947	2
entorhinal_rh	24.71243709561466	-5.893601725377422	-33.838964773544205	2
frontalpole_lh	-8.218642117376305	63.49712313003451	-9.40391254315304	2
frontalpole_rh	9.71375116931712	62.72591206735265	-10.852198316183348	2
fusiform_lh	-34.84349286314023	-44.27926112510495	-21.648362720403014	2
fusiform_rh	34.90324364172503	-42.5552893475857	-21.540729819388133	2
inferiorparietal_lh	-40.12270311313591	-69.60956719817767	28.925892179195145	2
inferiorparietal_rh	43.14767932489451	-64.71974955764257	28.861576153532056	2
inferiortemporal_lh	-49.67712860131982	-31.769998390471585	-26.405279253178833	2
inferiortemporal_rh	50.461514490495475	-28.70333437207853	-27.297444686818324	2
insula_lh	-36.148317344297254	-0.8251865387543802	-0.43688137657986204	2
insula_rh	37.0560817922117	0.27409412118478826	-1.2357540219515784	2
isthmuscingulate_lh	-7.367948717948707	-46.930341880341885	18.13760683760684	2
isthmuscingulate_rh	7.873526745240255	-46.46328195829555	17.808703535811418	2
lateraloccipital_lh	-29.663146103376533	-88.93839014242279	-2.0336053768602937	2
lateraloccipital_rh	31.715862694692277	-87.40949644639346	-1.3388779676394904	2
lateralorbitofrontal_lh	-23.755399296835748	31.630503934371347	-17.134773145822862	2
lateralorbitofrontal_rh	23.66727969348659	30.653486590038312	-17.794176245210735	2
lingual_lh	-13.96253478912439	-68.28238064654249	-5.051380860629422	2
lingual_rh	14.177467597208377	-67.49012961116651	-4.57168494516452	2
medialorbitofrontal_lh	-6.068921668362151	39.494404883011185	-16.789928789420145	2
medialorbitofrontal_rh	6.823112631321763	38.05399462496945	-15.998778402150009	2
middletemporal_lh	-57.7020621729763	-27.051400430901822	-15.238381040320093	2
middletemporal_rh	58.293163383545775	-24.092828633964203	-15.733874082657394	2
paracentral_lh	-7.861045828437142	-28.574618096357227	57.381609870740306	2
paracentral_rh	7.716052853528254	-26.445037953331465	56.75428732077593	2
parahippocampal_lh	-24.3892030848329	-30.91722365038561	-20.252956298200502	2
parahippocampal_rh	25.45935357492654	-30.498530852105773	-19.443192948090115	2
parsopercularis_lh	-46.428087030234536	15.00310822266178	12.379768296128844	2
parsopercularis_rh	47.438498957609454	14.516678248783876	12.654968728283535	2
parsorbitalis_lh	-41.42662337662338	40.4603896103896	-12.116233766233762	2
parsorbitalis_rh	42.39217877094973	40.9391061452514	-11.384357541899448	2
parstriangularis_lh	-44.56421789105448	30.949025487256364	2.544227886056973	2
parstriangularis_rh	46.82683033757124	29.951775537045165	4.322227093380093	2
pericalcarine_lh	-12.054018445322782	-80.7509881422925	5.830698287220031	2
pericalcarine_rh	11.979545454545459	-79.55852272727273	6.630681818181813	2
postcentral_lh	-44.25376665421493	-22.707632922425603	41.62881334827543	2
postcentral_rh	43.78716394306801	-21.42751713231418	42.76238798102267	2
posteriorcingulate_lh	-5.6264236902050015	-18.134396355353076	37.403514480963224	2
posteriorcingulate_rh	5.744341727765388	-17.725215173732863	37.82881734140899	2
precentral_lh	-39.76516357206012	-9.59902740937224	42.56781609195403	2
precentral_rh	40.03527305282006	-8.299999999999997	42.55971351835274	2
precuneus_lh	-9.67805478608804	-57.95413973530317	35.43859649122807	2
precuneus_rh	10.20012046378558	-57.46875470561662	34.8141846107514	2
rostralanteriorcingulate_lh	-5.207491375061608	36.598817151306065	2.912272055199608	2
rostralanteriorcingulate_rh	6.374646293152239	36.83644595359365	4.059422750424446	2
rostralmiddlefrontal_lh	-30.99696526919186	45.88546701135215	13.265819939305388	2
rostralmiddlefrontal_rh	32.08412335185791	46.379535796011766	13.443935926773449	2
superiorfrontal_lh	-11.423654927153848	28.640357921303206	41.924400596535506	2
superiorfrontal_rh	11.857377983161356	30.422738494650872	41.36981705387099	2
superiorparietal_lh	-21.75720384204908	-64.48439167556029	46.91528815368197	2
superiorparietal_rh	21.579923694250752	-64.10630180239443	48.24299434284963	2
superiortemporal_lh	-52.97766139375801	-12.402308678922623	-6.3316588285592275	2
superiortemporal_rh	54.01315933764667	-9.645246189275142	-7.030705121175572	2
supramarginal_lh	-52.6556040756914	-38.25633187772925	30.178165938864623	2
supramarginal_rh	52.9393646186099	-32.830995000806325	30.458151910982096	2
temporalpole_lh	-31.74875415282392	11.407392026578066	-36.497093023255815	2
temporalpole_rh	33.03844350679793	12.226910454758553	-35.30051570557899	2
transversetemporal_lh	-44.344020797227046	-23.06152512998267	6.816291161178512	2
transversetemporal_rh	45.50740740740741	-20.67407407407407	7.022222222222226	2